"EVaR","CoEVaR_sim"
-4.38073242045934,-7.52345779489656
-3.10360138016114,-2.44407843231776
-2.09726365068524,-0.779514360523006
-2.13192051878163,-5.80519473268095
-2.01093245119127,-3.80098793495914
-2.95155375169428,-13.1702381411608
-2.14573254623795,-4.33012973055243
-2.35860119398343,-4.92875548321413
-2.09451728694578,-3.18317162585635
-2.17883928505873,-3.03200165865123
-2.95042981436898,-4.20318842292909
-2.79047827852711,-3.34087539791882
-4.77357800407229,-8.59301333217017
-2.79133675718524,-6.51982594443844
-2.54395850636747,-4.00677421652863
-2.24173838126657,-2.78967913003314
-3.38587178187651,-5.06672806584304
-3.18719560384036,-0.628013440721217
-2.19746802262952,-4.43405204930387
-2.82370202294729,-1.5134594752205
-2.32904368075904,-5.39503886768618
-2.752771216,-4.17473982070047
-2.00809250881325,-2.2491054217537
-2.67820462768072,-4.25913305802861
-3.35631597803012,-4.75279163486386
-2.16514910700753,-12.84826148726
-2.62077945164759,-4.38531687730386
-1.81909152866867,-3.19189270083056
-2.12037412386898,-3.68672804132952
-2.8003253562259,-5.08273322830356
