"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-1.078255627,-2.981047018,-3.033775221,-3.17412295,-2.917561252,-5.941711811,-3.740386867,-4.730538904,-1.435667866,-1.419745552,-1.613543724,-1.739746549,-2.869354504,-3.391149017,-3.413221517,-3.603739833,-2.639407162,-2.638441049,-2.883181669,-2.594142163,-1.916446805,-5.198304147,-1.29427279,-3.247264077,-4.236181854,-1.721782363,-1.373583619,-1.207315812,-0.141447179,-4.477488866
-4.25376661,-2.021746203,-1.856265046,-0.367334398,-2.161800989,-1.545925354,-0.396425476,-0.143878785,-1.957522925,-1.104043784,-5.865573916,-2.494825387,-9.00893129,-2.178735911,-1.793489026,-0.168580539,-4.952252004,-2.780855162,-0.949611835,-2.385066491,-2.358145148,-2.334212648,-1.41877916,-3.239857072,-3.140692921,-4.154505123,-3.41796839,-1.806487685,-5.320930326,-2.601425476
1.481648973,-1.467953364,-1.838312835,-2.202960528,-0.666298253,-0.899430484,-2.353113895,-2.452373733,-2.701687677,0.684055938,-0.816566235,-2.031556376,1.043959953,-3.097326093,-1.911258546,-0.693961883,-0.070978429,-4.627197577,-2.587799856,-3.31613306,-0.514279253,0.201291503,-0.643530055,-2.124097753,-3.2252646,-1.642988466,-0.22247426,-2.580824585,-1.631318095,-3.163417183
-3.615990137,-3.020348843,-3.084915508,-2.850500543,-2.604490479,-5.333229835,-3.499829109,-4.271158241,-1.949245358,-1.3795756,-1.357813659,-2.575906008,-2.951624274,-3.302993848,-3.374241117,-2.73183914,-2.167551359,-2.357647172,-2.684615841,-2.554255074,-2.190092272,-2.734666634,-2.23707665,-3.87519575,-5.682645323,-1.532430172,-1.916250246,-1.343861848,-2.421012831,-3.302010159
-4.821254607,-5.218880847,-3.895386911,-3.376928846,-3.704113044,-5.46715307,-3.600234178,-3.97928766,-3.226401599,-1.400351045,-5.39725557,-3.80408194,-9.976176554,-4.77324226,-5.123196961,-4.079076452,-2.143527739,-5.200963137,-3.993175259,-4.547577315,-3.477636229,-5.232853199,-2.929579847,-6.013497424,-6.474829805,-4.025298773,-3.366359714,-2.447669111,-6.525120858,-3.903980377
0.412013957,-2.099044609,-1.484208403,-1.199666781,-1.456630587,-1.78290079,-1.387862811,-1.074350653,-2.832603042,-0.304321778,-2.962254616,-1.516452695,-1.974577551,-2.160419064,-1.53034522,-0.886713692,-3.888649626,-3.304012525,-1.237319148,-2.175465315,-1.418213959,-2.622587797,-0.948185059,-2.094571486,-1.541561982,-3.196142687,-2.493936949,-1.006986498,-1.398847218,-5.381351435
-4.518085168,-3.219511376,-3.225238306,-1.364083123,-1.448204536,-2.827951321,-1.617947508,-2.546485394,-2.178768018,-0.807088558,-5.099281924,-3.231918164,-6.674004307,-4.072475351,-3.73511639,-1.735560023,-4.967018179,-6.239461997,-3.294523849,-3.982518729,-4.39981628,-1.617619896,-2.482305107,-6.029059394,-7.188248712,-4.073107402,-2.150322657,-4.033070566,-3.432427507,0.42685694
-2.753330346,-2.104929451,-2.179387581,-2.251040479,-2.441774513,-4.499199618,-2.940764409,-3.628527608,-2.411827371,-1.205052063,-1.242210551,-2.391916979,-2.688066516,-2.57030743,-2.629853275,-1.39834258,-2.772135459,-1.633040798,-2.126082031,-2.130395425,-1.584148274,-2.020628022,-1.626747311,-3.011945152,-3.67290996,-1.475819982,-1.43684681,-0.996459932,-2.184743975,-4.435528561
-1.793383547,-3.772361125,-2.709866413,-2.013859383,-2.279721749,-3.301183019,-2.175607974,-2.383250449,-2.908442069,-0.564393482,-2.306993912,-2.249620823,-3.773034658,-2.04613485,-2.475309385,-1.819967416,-1.152032971,-2.027307785,-1.964570559,-1.728772248,-2.734707134,-3.135475952,-2.401673869,-4.721378942,-5.187090243,-3.227773102,-2.495440149,-2.209750875,-3.436851045,-5.571624498
-5.222394779,-3.32434855,-2.527733349,-1.482929968,-1.540952756,-4.243361955,-1.974956786,-2.531541507,-2.665709994,-1.971207376,-6.077567722,-3.089149911,-5.589136966,-3.634985174,-3.692434908,-1.822313928,-7.19969835,-4.753179819,-2.134756619,-3.898658185,-3.179862464,-3.494927659,-1.408675256,-4.41138331,-3.561526318,-3.862842521,-3.829373238,-1.731524821,-2.472133587,-5.065890373
-4.317131885,-3.869450317,-3.288765502,-3.248406618,-2.888409141,-5.754083894,-3.657234275,-4.38089129,-1.994689025,-1.277326035,-3.265157351,-3.16367989,-5.285168259,-4.46749422,-4.584236846,-4.445450226,-1.549349768,-3.779588527,-3.647430082,-3.650193525,-2.74665492,-4.113224737,-2.134876315,-6.313865933,-8.49714816,-1.92734073,-3.167264052,-0.802315038,-2.569195696,-0.654658004
-1.601306726,-2.503097095,-3.227935245,-3.695224878,-3.805140098,-5.293660714,-4.071255971,-4.587638611,-2.626272373,-0.440731691,-1.521980615,-2.136810889,-3.03233998,-3.260207459,-3.31850188,-3.340879939,-0.295447224,-2.565979189,-2.830734145,-2.492800522,-1.341159312,-4.371405728,-1.279573986,-4.370050112,-6.33315783,-1.745021537,-3.138603678,-0.406868745,-2.99974685,-4.94632754
-0.573080777,-3.090824548,-1.528429558,-0.321514618,0.034216547,0.291069115,-0.079192013,0.126908314,-2.254661503,-0.114353949,-1.796805809,-1.285029312,-1.634590806,-0.852147834,-0.508705887,0.439355433,-3.050528684,-2.133982758,-1.102197608,-1.017162281,-2.509749798,-1.000553881,-2.181563753,-1.660087335,-2.243596291,-3.766482379,-0.822990856,-3.042220482,-3.554837199,-4.311188286
0.687828534,-2.232833259,-0.805405405,-1.95474272,-1.960528772,-4.128067479,-2.537733506,-2.587169071,-1.671905375,-0.744778646,-0.76869287,-1.297959736,0.251009549,-2.3961959,-1.983440175,-2.402016948,-1.800186758,-2.346241333,-1.696288128,-2.182771779,-0.963173436,-2.348065163,0.184154075,-2.34514814,-4.312658222,-0.284332248,-1.628233592,-0.90236804,-1.637913548,-1.653303468
-0.339409668,-2.584306539,-1.221802538,-1.845327494,-1.427061541,-1.605910551,-1.859942399,-1.882894194,-2.02836589,-1.625579794,-1.065416053,-1.334160483,-0.740564746,-2.770091574,-1.564928748,-1.130097271,-3.207651322,-3.566566005,-1.873405268,-3.043647504,-0.582848168,-2.271278335,0.036786676,-1.888267023,-3.512078587,-1.495462236,-2.529916302,-1.09522338,-2.56430292,-2.556888083
-5.700866723,-3.665125006,-3.284809059,-2.546430403,-2.126362482,-4.574053008,-2.750066574,-3.710539477,-2.118443099,-1.458785812,-4.817014418,-3.123392623,-5.760361308,-4.112379531,-3.674167337,-2.234576667,-4.962000022,-3.856870037,-3.020936755,-3.856058819,-3.397930169,-4.095848845,-1.75118559,-4.386398822,-5.374964307,-2.639492813,-4.000892278,-2.447300833,-3.207205688,-4.733185914
