"EVaR","CoEVaR_sim"
-3.94711974873445,-5.74950268720615
-2.83704728974203,-15.4942222373783
-1.84139989697117,-60.3556615678801
-1.87241350439757,-3.58986514253984
-1.77860353317602,-3.98503282620293
-2.6013597652519,-13.5527081358153
-1.88967872290895,-13.3338869358814
-2.09372063735357,-1.80483803804441
-1.91376498851745,-2.87992948234538
-1.96912411614568,-2.93434829535353
-2.6661797354522,-3.80499872772642
-2.5064799881214,-2.60958198400127
-4.22644143303794,-5.68982455068198
-2.50438313988771,-3.6714706088935
-2.2747026546176,-3.25088354587405
-2.03292046206373,-2.65328082747826
-3.0866097582003,-4.0920861126612
-2.87667027432018,-4.77388716963338
-1.99150500691351,-2.39273333545542
-2.54582609514264,-5.68011146270529
-2.08214668580728,-3.39863695499311
-2.49851552689074,-4.00335845334487
-1.81858771623369,-2.14678361398892
-2.37609281893171,-3.72913744548564
-2.93521429028983,-3.98681048790124
-1.95723509099697,-4.18212700688669
-2.42971205643247,-6.97628357168485
-1.64411022320486,-3.1222751180831
-1.87846431219727,-2.60821926283146
-2.53518151857663,-3.56291550467454
-2.00938049774507,-3.06049529912238
-3.06379514500455,-10.2735002603361
-1.50209287085736,-0.922950316507388
-2.31312519836722,-2.4391588307261
-1.81266909912898,-3.39850296254902
