"","x"
"Merval",2.37279305835328
"IBOVESPA",2.7659687048099
"AXJO",2.9652866105085
"DJI",3.2055195977337
"GSPTSE",3.26843160218279
"RUT",3.26435559547174
"SPX",2.90899367587075
"IXIC",3.10804872174164
"MXX",2.87231277984836
"SPCLXIGPA",2.54023350730597
"WIG20",3.09150765812023
"GDAXI",3.11116162595378
"IRTS",2.76999769916153
"FCHI",3.12496041910177
"AEX",3.43496324678099
"SSMI",3.23947551911583
"XU100",2.69312084721735
"IBEX",2.8706784668133
"FTSE",3.41052753979067
"STOXX50E",2.6781104564635
"KS11",3.10721678860579
"N225",3.14442462732504
"TA35",2.57359940481366
"SSEC",2.14799445224351
"SZI",2.08563123354464
"TWII",3.12475723330279
"HK50",3.0843303229711
"STI",2.98445400285045
"NSEI",2.99886229749262
"VNI30",2.07975776113483
