"","x"
"Merval",2.28438981418662
"IBOVESPA",3.1619688988289
"AXJO",2.74235475616628
"DJI",2.6036204892944
"GSPTSE",2.25920264602509
"RUT",3.68858634066381
"SPX",2.52402085125713
"IXIC",3.15737722351645
"MXX",2.62483198169938
"SPCLXIGPA",2.54449257358621
"WIG20",3.39352970094725
"GDAXI",3.15616538607216
"IRTS",3.02120346460613
"FCHI",3.23589497433137
"AEX",2.94356827237133
"SSMI",2.85629218963965
"XU100",2.32907569762215
"IBEX",3.67096440199704
"FTSE",2.95871684491993
"STOXX50E",3.42828751353604
"KS11",2.93498227461132
"N225",2.99529105236552
"TA35",2.56467427893303
"SSEC",2.94936188871904
"SZI",2.99143584975295
"TWII",2.96332377652214
"HK50",3.36588607184332
"STI",2.75193014915524
"NSEI",2.49305129511487
"VNI30",2.43299479834522
