"","x"
"Merval",4.52273373043256
"IBOVESPA",4.20389098964669
"AXJO",3.42436808683685
"DJI",1.82282433514627
"GSPTSE",2.14882483780398
"RUT",7.38548368172762
"SPX",2.16517004131843
"IXIC",2.76085010446687
"MXX",3.13931129253623
"SPCLXIGPA",2.40055553370852
"WIG20",2.52511474325495
"GDAXI",2.35002675570193
"IRTS",4.39252029318787
"FCHI",4.70128866175181
"AEX",1.62188870688483
"SSMI",2.12346424665711
"XU100",3.37778257348091
"IBEX",2.74851444017107
"FTSE",6.07245777394046
"STOXX50E",7.13535018513832
"KS11",4.74530545417582
"N225",3.93300125976526
"TA35",4.04367070762427
"SSEC",1.80288198106812
"SZI",3.12526137673123
"TWII",9.17616410769025
"HK50",3.31568820405185
"STI",1.71101690011765
"NSEI",2.0655941322698
"VNI30",3.98345903512148
