"","x"
"Merval",3.24195990380685
"IBOVESPA",4.01914886513955
"AXJO",2.88771631126268
"DJI",3.58377509852688
"GSPTSE",2.87459442321557
"RUT",4.1131588080381
"SPX",3.31125675555173
"IXIC",3.61570178932543
"MXX",3.43752507525574
"SPCLXIGPA",3.07570622503724
"WIG20",4.25231972574069
"GDAXI",4.59027142116641
"IRTS",3.79391101776208
"FCHI",4.52004476103494
"AEX",4.28025501326101
"SSMI",3.12733411931933
"XU100",3.13294763978127
"IBEX",4.78695243038053
"FTSE",3.31665504810817
"STOXX50E",4.23635662855703
"KS11",3.74470030682986
"N225",4.28044354295729
"TA35",2.92480977630046
"SSEC",3.04122546057222
"SZI",3.38715991880842
"TWII",3.12207293424293
"HK50",4.31011628883136
"STI",3.49890512170858
"NSEI",3.64061628840524
"VNI30",2.77682347348141
