,EVaR_mean,EVaR_sd,CoEVaR_linear_mean,CoEVaR_linear_sd,CoEVaR_sim_mean,CoEVaR_sim_sd
阿根廷Merval指数,-3.894 ,3.895 ,-3.730 ,2.954 ,-6.096 ,13.380 
巴西IBOVESPA指数,-2.835 ,2.290 ,-4.167 ,3.101 ,-6.051 ,49.451 
澳大利亚ASX200指数 ,-1.884 ,1.714 ,-4.703 ,3.508 ,-4.344 ,32.673 
美国道琼斯指数,-1.896 ,1.919 ,-5.852 ,4.297 ,-2.549 ,4.315 
加拿大TSX指数,-1.792 ,1.863 ,-5.714 ,4.255 ,-2.967 ,10.453 
美国罗素2000指数,-2.648 ,2.479 ,-5.308 ,3.747 ,-11.129 ,95.481 
美国标普500指数,-1.926 ,1.840 ,-5.667 ,4.229 ,-2.948 ,18.857 
美国纳斯达克工业指数,-2.138 ,1.888 ,-5.162 ,3.891 ,-3.919 ,16.877 
墨西哥BMV指数,-1.924 ,1.548 ,-4.781 ,3.065 ,-2.273 ,13.105 
智利SPCLXIGPA指数,-1.922 ,1.976 ,-3.553 ,2.581 ,-2.912 ,3.236 
波兰WIG20指数,-2.662 ,2.627 ,-4.669 ,3.180 ,-3.819 ,4.038 
德国DAX30指数,-2.502 ,2.526 ,-6.232 ,5.522 ,-3.477 ,7.643 
俄罗斯IRS指数,-4.230 ,4.619 ,-4.488 ,4.210 ,-5.795 ,16.059 
法国CAC40指数,-2.550 ,2.532 ,-6.630 ,5.229 ,-5.626 ,82.969 
荷兰AEX指数,-2.309 ,2.194 ,-6.743 ,5.077 ,-3.001 ,2.610 
瑞士SWI20指数,-2.043 ,1.929 ,-5.025 ,3.817 ,-3.291 ,11.663 
土耳其XU100指数,-3.091 ,2.398 ,-3.610 ,3.496 ,-4.034 ,6.226 
西班牙IBEX35指数,-2.915 ,2.603 ,-4.665 ,4.320 ,-3.592 ,10.273 
英国富时100指数,-2.024 ,2.005 ,-5.918 ,4.551 ,-8.103 ,142.694 
欧洲STOXX指数,-2.580 ,2.539 ,-6.309 ,5.447 ,-14.858 ,315.809 
韩国KOSPI指数,-2.086 ,1.910 ,-5.245 ,3.290 ,-5.529 ,64.701 
日经225指数,-2.530 ,2.103 ,-4.530 ,3.572 ,-4.159 ,15.967 
以色列TA35指数,-1.801 ,2.098 ,-3.324 ,3.429 ,-2.279 ,2.887 
上证指数,-2.417 ,2.095 ,-3.828 ,2.357 ,-3.723 ,2.492 
深证成指,-3.017 ,2.480 ,-3.107 ,2.337 ,-4.223 ,2.761 
台湾加权指数,-1.979 ,1.761 ,-4.519 ,3.168 ,-19.133 ,402.819 
香港恒生指数,-2.431 ,1.732 ,-5.385 ,2.541 ,-5.224 ,22.796 
新加坡海峡时报指数,-1.641 ,1.494 ,-4.742 ,3.008 ,-2.646 ,2.830 
印度NIFTY指数,-1.886 ,1.725 ,-4.197 ,3.143 ,-2.852 ,3.189 
越南VN30指数,-2.589 ,2.171 ,-2.661 ,2.865 ,-2.807 ,20.219 
