"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-9.488758308,-5.887510943,-5.899987356,-4.743672115,-4.039834088,-7.919703805,-5.487585754,-7.105365902,-2.86048128,-1.995642032,-7.677854607,-6.234398137,-12.069742407,-10.194373603,-8.900691783,-5.641728392,-10.43637806,-13.008859947,-6.812407532,-10.425903094,-4.675979092,-5.549636186,-1.416140484,-5.707234758,-8.04609604,-4.979062154,-4.527929557,-4.568320843,-7.644440309,-0.173773863
-5.501315057,-5.259820839,-5.156872346,-2.984671304,-1.16860318,-2.910631236,-3.283030968,-4.465476169,-1.356674148,1.439748094,-4.358315997,-0.124505266,-7.279126982,-5.820312663,-3.772127332,-1.882795686,-5.394507391,-9.360344408,-5.480278691,-5.819959201,-7.786077531,-6.623125357,-1.35302399,-8.492892706,-12.259717206,-2.917522607,-6.446066094,-2.809735049,-6.869737947,-7.465137336
-2.661411075,-3.968331793,-5.318277145,-2.991522834,-2.960699968,-4.507177174,-2.992947313,-3.496797366,-2.6032846,-0.764388941,-2.160455175,-2.41671658,-7.722185062,-2.086097682,-2.613912784,-2.53204521,-1.604862498,1.678057236,-2.661335226,-0.884630111,-4.899885801,-5.383925988,-4.073364062,-3.635851638,-1.994950611,-5.751691097,-2.729144567,-4.225587958,-2.207650074,-7.64610694
-2.066390375,-1.655944457,-0.347602943,-0.90332523,-2.191928294,-1.552316774,-1.372346622,-1.184495444,-1.936949029,-0.839809339,-5.252277443,-1.342976861,-4.370008784,-2.920014684,-1.606377843,-1.137741231,-4.791732262,-6.618057364,-1.409366169,-3.680272538,-0.017231995,-2.265923608,0.84025291,-3.807921038,-5.826887669,-2.025273114,-3.804432806,-0.506484128,-4.863267873,-1.430107229
-2.904401074,-4.23063862,-4.834761527,-1.993768689,-2.133437133,-5.756500127,-2.529628699,-3.439352109,-2.464075387,-1.283025141,-2.68198419,-2.753229959,-3.451475576,-2.560726159,-3.022354975,-2.303007408,-0.761630294,-4.036308463,-2.682031416,-2.174508274,-5.397857439,-2.151262761,-4.365205201,-5.338107938,-4.567686432,-4.558389528,-2.197760619,-4.171083647,-1.862263825,-4.559605605
-2.701154312,-3.732948831,-3.36373501,-4.347930801,-2.452988172,-4.978789653,-4.219425954,-4.118491969,-2.476357724,0.490110685,-5.014662898,-3.216966225,-7.355331263,-5.897086769,-4.89855754,-4.056919358,-1.204303561,-8.114332239,-4.798239088,-5.882365099,-2.141242011,-5.171963676,-2.053073935,-2.937700504,-4.989905133,-4.005647587,-2.40481617,-2.988090308,-4.161817343,-0.655224143
-1.609154914,-1.972326878,-1.224979207,-0.83205969,-1.979720269,-3.143049427,-1.434645623,-1.291172994,-2.841385983,-1.379123381,-2.116730625,-1.219252136,-0.39406789,-0.914386189,-1.04391833,-0.305336139,-1.595424365,-1.361350546,-0.709991907,-1.166192871,-1.511220252,-0.986402066,-1.267299752,-3.517101048,-3.840428261,-2.900579943,-2.560422624,-0.641761017,-1.684647341,-4.382141543
0.260012154,0.131038165,-1.938521495,-2.715311778,-1.69512027,-2.833006214,-3.203958972,-3.201696663,-0.872006437,-0.087602226,-0.693834855,-2.218308635,-0.754447794,-4.054254947,-2.64273747,-2.256993718,-1.918315941,-3.747894196,-3.345314785,-3.515319584,1.476836465,-2.04944332,-0.541692641,0.908674575,0.162397199,-0.344646908,0.946897997,0.703245536,0.240403631,-0.921562919
-4.446427827,-5.324231672,-6.17739712,-5.693899097,-4.601706543,-7.406802096,-6.344352814,-8.004009729,-3.79831447,-1.229333299,-1.592113152,-5.542004787,-7.678603282,-6.845265634,-6.972207346,-5.37605455,-3.659479225,-3.008128613,-5.850108571,-5.349928603,-3.378492183,-6.866471436,-2.971445058,-6.697578278,-8.854218185,-1.862604064,-3.761014841,-0.725224447,-0.584347443,-2.498074043
0.713707098,-1.160757766,-1.289406259,-2.764677325,-1.127712435,-1.822848451,-2.266502755,-1.913560505,-1.002349533,0.532847502,-2.282275983,-0.807958529,-0.704459572,-2.613070536,-1.356379146,-2.88677554,-0.834015628,-2.232150719,-2.091545825,-2.527060283,1.886171525,-4.835625849,0.115643448,-0.922818792,-4.470964067,-2.994105043,-3.206992699,0.095074311,0.924163215,-1.567513765
-3.658101576,-2.675739089,-2.615161322,-1.146100867,-1.52850288,-3.520611855,-1.617247093,-2.20860449,-1.573059425,-2.173484301,-3.564724004,-2.269767776,-3.613692449,-2.483923502,-2.226994978,-1.687833698,-5.155959985,-1.956894287,-1.516166195,-2.109423825,-2.190892293,-1.707658714,-1.348289761,-3.846740911,-4.152634654,-2.907266535,-1.921228307,-1.260166913,-1.086424604,-3.278112999
1.84068859,-0.022110836,0.017459793,-0.970596401,-0.030282782,0.498410119,-0.762551162,-0.277281677,-0.245132771,0.620655357,-1.064485069,-0.38988822,2.025894612,-1.958294991,0.173648745,-0.456428138,-0.479409006,-3.037872407,-1.265940058,-2.288017076,1.598431875,-0.617232659,0.53792799,-0.182705239,-1.862488821,-0.318527206,-0.495030238,0.008527099,-1.045226033,-0.617108382
-2.483655857,-3.318052033,-2.479303777,-1.027483456,-2.413146844,-3.095084605,-1.694005378,-2.0922675,-4.07292409,-1.180651686,-1.713330233,-2.648977203,-2.886310863,-1.27970447,-1.810110621,0.114613011,-1.880109325,-0.301889447,-1.191835308,-1.188613697,-2.920072311,-0.786920531,-2.13249224,-2.803931396,-2.954896767,-2.30296096,-1.521129132,-1.297798984,-4.180822301,-7.886073176
0.687881054,-1.8280035,-1.822537141,-1.738609765,-2.118833945,-1.793540656,-1.926549321,-1.874928139,-2.804044425,0.539601414,0.662655694,-1.40284442,-0.0965552,-1.036909913,-0.868074755,-0.353342702,0.181445476,0.313211244,-1.340653718,-0.77013021,-0.672056875,-1.85803938,-1.061024236,-2.413823843,-3.632278956,-1.138712349,-1.583562072,-0.496215709,-1.541591654,-4.858096214
-4.309372315,-2.524460843,-3.054876707,-3.185748993,-2.314560212,-5.318881708,-3.761942526,-4.547285849,-2.404110298,-1.434872942,-3.990768404,-3.585502396,-4.4612166,-5.355700342,-4.255008308,-2.884695243,-5.869606049,-5.879846262,-3.552748206,-5.323921361,-1.407748949,-3.468040442,-0.7489548,-1.938942938,-2.620858505,-1.877437034,-2.416698122,-1.501887057,-1.333427993,-5.401596128
-5.512315695,-4.969817707,-4.209276472,-1.872908922,-2.117904237,-3.07833209,-2.243538925,-2.599262682,-3.548675526,-1.05313409,-7.071043216,-3.848315277,-8.514812104,-4.620127137,-4.389784754,-1.46096975,-5.420979501,-7.616626931,-3.40494277,-5.254942359,-4.788400422,-3.643159982,-1.778964713,-4.028334174,-4.647831082,-6.099276541,-4.592673388,-4.935486797,-5.819869089,-8.074273008
-5.865369989,-4.166304373,-4.376973022,-3.632212752,-3.266464394,-5.942025442,-4.015417706,-4.953266552,-3.824784655,-1.443161455,-4.396303097,-4.059516846,-7.61213669,-4.849582111,-4.758095673,-3.07913726,-5.698131381,-4.737926303,-3.521172164,-4.522008434,-3.924430396,-5.070926721,-1.810218564,-4.904790343,-5.797185276,-4.45182349,-4.780911868,-3.153118674,-2.727561946,-7.827695456
-5.285891297,-3.438014522,-2.2480951,-2.269735227,-2.011830707,-4.687778198,-2.598119121,-3.315173595,-3.075227854,-2.100877613,-5.165063031,-3.761237743,-5.125211395,-4.386848524,-4.028116807,-2.207488211,-6.640322138,-6.115333224,-2.38432858,-4.751666452,-2.627372113,-2.495189977,-0.48676996,-3.347702981,-3.545210911,-3.546656568,-3.353618873,-2.012560766,-3.131303957,-4.56669856
-0.828303515,-1.780970787,-2.39071587,-1.745691574,-2.134635713,-1.886892594,-2.064635579,-1.993009553,-2.34733937,-0.075241512,0.156413306,-1.373502596,-1.795167443,-1.680016327,-0.889037584,0.206447875,-2.194439669,1.142584775,-1.707289228,-0.83817571,-1.800244559,-1.665583019,-1.199121894,-3.054774699,-3.637374016,-1.160200203,-2.664914469,-0.970629561,-0.810496363,-7.134255064
