"EVaR","CoEVaR_linear"
-3.89431570352326,-3.72962060407671
-2.83519090700291,-4.16713498796484
-1.88421755030087,-4.70324370184712
-1.89551635568169,-5.85152508570063
-1.79247990484884,-5.71438493656009
-2.64765702944041,-5.30781242102808
-1.92645818140843,-5.66682794422984
-2.13780143694622,-5.1617697865629
-1.92360081862355,-4.78050669158836
-1.92162691962355,-3.5533746032103
-2.66243016551599,-4.66921243101663
-2.50210316801453,-6.23215833613647
-4.23021593924855,-4.48812429339135
-2.54996333267442,-6.62991250465826
-2.30892769879215,-6.74292508534111
-2.04257799928924,-5.02525721863584
-3.09079677685465,-3.60989703433242
-2.91546005580959,-4.66492990332662
-2.0237090543125,-5.91791810577871
-2.58046073230959,-6.30865063865698
-2.08624834246221,-5.24457304046344
-2.52981499510756,-4.53008157833077
-1.80131050029651,-3.32366801170286
-2.41696033237355,-3.8282825399887
-3.01662729873256,-3.10675277172318
-1.9794440081875,-4.51904666756813
-2.43125566300581,-5.38517255529221
-1.64105538445058,-4.74179062835367
-1.88552848012355,-4.19741407162212
-2.58881710218314,-2.66096533118996
