"EVaR","CoEVaR_sim"
-3.89431570352326,-6.09579628241227
-2.83519090700291,-6.05070527332926
-1.88421755030087,-4.34416223841059
-1.89551635568169,-2.54900254249542
-1.79247990484884,-2.96738844076479
-2.64765702944041,-11.1292877604932
-1.92645818140843,-2.94784786074159
-2.13780143694622,-3.9192843699944
-1.92360081862355,-2.27263297609385
-1.92162691962355,-2.91197058958581
-2.66243016551599,-3.81946212730271
-2.50210316801453,-3.47706523397581
-4.23021593924855,-5.79495995348393
-2.54996333267442,-5.62607625982721
-2.30892769879215,-3.00111982943052
-2.04257799928924,-3.29105791032701
-3.09079677685465,-4.03352775982448
-2.91546005580959,-3.59211404632949
-2.0237090543125,-8.1031941521652
-2.58046073230959,-14.857752422154
-2.08624834246221,-5.52946517601177
-2.52981499510756,-4.1585702222041
-1.80131050029651,-2.27895409002438
-2.41696033237355,-3.72336747471394
-3.01662729873256,-4.22301023261754
-1.9794440081875,-19.1327498618102
-2.43125566300581,-5.22394617868084
-1.64105538445058,-2.64637692575079
-1.88552848012355,-2.85242174090304
-2.58881710218314,-2.80702180279052
