stock.raw...1.,阿根廷Merval指数,巴西IBOVESPA指数,澳大利亚S.P.ASX200指数,美国道琼斯指数,加拿大TSX指数,美国罗素2000指数,美国标普500指数,美国纳斯达克工业指数,墨西哥BMV指数,智利SPCLXIGPA指数,波兰华沙WIG20指数,德国DAX30指数,俄罗斯IRS指数,法国CAC40指数,荷兰AEX指数,瑞士SWI20指数,土耳其XU100指数,西班牙IBEX35指数,英国富时100指数,欧洲STOXX指数,韩国KOSPI指数,日经225指数,以色列TA35指数,上证指数,深证成指,台湾加权指数,香港恒生指数,新加坡海峡时报指数,印度NIFTY指数,越南VN30指数
2009/5/31,1638.1,53341,3971.2,8763.13,10569.29,530.36,940.09,1849.42,24913.01,15244.45,1962.39,5077.03,1149.95,3339.05,266.93,5398.9,347.5,9519,4438.56,2503.17,1394.71,9768.01,882.3,2753.89,10667.11,6856.74,18679.53,2396.35,4586.9,476.81
2009/6/7,1654.56,53558,4062.2,8799.26,10644.96,526.83,946.21,1858.8,25460.02,15448.49,2041.32,5069.24,1127.23,3326.14,265.48,5521.84,348.17,9714.4,4441.95,2509.22,1428.59,10135.82,880.27,2743.76,10524.13,6448.23,18889.68,2377.07,4583.4,497.75
2009/6/14,1559.46,51374,3899.6,8539.73,10287.95,512.72,921.23,1827.47,24274.72,14984.16,1965.17,4839.46,1011.38,3221.27,257.16,5421.59,358.2,9580.9,4345.93,2434.77,1383.34,9786.26,832.74,2880.49,11242.29,6231.15,17920.93,2273.18,4313.6,461.26
2009/6/21,1579.99,51486,3903.8,8438.39,10389.76,513.22,918.9,1838.22,24458.23,14822.3,1858.24,4776.47,955.45,3129.73,254.43,5375.99,367.56,9686.9,4241.01,2389.91,1394.53,9877.39,840.97,2928.21,11413.17,6463.56,18600.26,2317.95,4375.5,450.23
2009/6/28,1579.12,50935,3828.2,8280.74,10283.1,497.21,896.42,1796.52,24045.39,14856.24,1828.27,4708.21,950.24,3119.51,253.7,5338.51,367.98,9707.8,4236.28,2376.48,1420.04,9816.07,862.27,3088.37,12258.79,6665.4,18203.4,2299.75,4424.25,426.82
2009/7/5,1477.84,49221,3794.1,8146.52,9747.13,480.98,879.13,1756.03,23656.26,14727.04,1790.44,4576.31,835.23,2983.1,243.2,5237.81,367.8,9344.9,4127.17,2281.47,1428.62,9287.28,848.55,3113.93,12706.01,6769.86,17708.42,2307.98,4003.9,435.1
2009/7/12,1622.67,52072,4000.8,8743.94,10369.42,519.22,940.38,1886.61,25741.96,15225.88,1897.32,4978.4,925,3218.46,266.4,5594.14,377.27,10041.9,4388.75,2469.2,1440.1,9395.32,874.57,3189.74,13131.97,6850.99,18805.66,2430.96,4374.95,431.31
2009/7/19,1675.1,54457,4089.8,9093.24,10687.9,548.46,979.26,1965.96,26646.37,15386.03,2083.95,5229.36,1012.62,3366.45,276.15,5760.9,393.95,10438.6,4576.61,2582.76,1502.59,9944.55,915.44,3372.6,13531.72,6973.28,19982.79,2533.43,4568.55,459.03
2009/7/26,1719.87,54766,4244,9171.61,10787.15,556.71,987.48,1978.5,27043.5,15288.54,2137.56,5332.14,1017.47,3426.27,283.17,5950.69,426.41,10855.1,4608.36,2638.13,1557.29,10356.83,950.49,3412.06,13670.72,7077.71,20573.33,2659.2,4636.45,476.66
2009/8/2,1799.53,56330,4299.4,9370.07,10885.33,572.4,1010.48,2000.25,28179.55,15518.4,2116.05,5458.96,1080.08,3521.14,290.5,6026.4,447.68,10947.6,4731.56,2706.22,1576,10412.09,986.62,3260.69,12975.26,6868.65,20375.37,2549.35,4481.4,493.91
