date,Merval,IBOVESPA,AXJO,DJI,GSPTSE,RUT,SPX,IXIC,MXX,SPCLXIGPA,WIG20,GDAXI,IRTS,FCHI,AEX,SSMI,XU100,IBEX,FTSE,STOXX50E,KS11,N225,TA35,SSEC,SZI,TWII,HK50,STI,NSEI,VNI30,EUR,GBP,CNY,VIX,WTI,GOLD,dollar,GAS,Copper
2009/6/7,0.999807883,0.405991259,2.265638275,0.411447997,0.713391432,-0.667810539,0.648891637,0.505904181,2.171922169,1.329576155,3.943353928,-0.153553996,-1.99551673,-0.38738629,-0.544694346,2.251590896,0.192620124,2.031951949,0.07634697,0.241401924,2.40014355,3.696292382,-0.230345563,-0.368521512,-1.349445995,-6.142643558,1.118746931,-0.807810955,-0.076333384,4.297985426,-1.272725061,-1.280952722,-0.070270985,2.391641155,3.161673364,-1.82206904,1.623412276,0.856814277,4.032175576
2009/6/14,-5.919550496,-4.163297092,-4.0850715,-2.993823566,-3.411323325,-2.714802866,-2.67547981,-1.699862159,-4.767389906,-3.05176208,-3.801790185,-4.638776073,-10.8447561,-3.203678075,-3.1841049,-1.832200772,2.840062339,-1.383778747,-2.185369428,-3.011965166,-3.218707901,-3.50963233,-5.550721,4.863117608,6.601184455,-3.424476809,-5.264643767,-4.46889046,-6.06682585,-7.613606761,0.350012858,2.868530888,-0.033654022,-5.090245425,5.126407128,-2.301367789,-0.689850783,-0.284789836,3.791821932
2009/6/21,1.307891041,0.217771815,0.107645396,-1.193785926,0.984739826,0.097471595,-0.253243113,0.586521545,0.753128499,-1.086083963,-5.594895237,-1.31013643,-5.688858019,-2.882895288,-1.067271023,-0.844638726,2.579508101,1.100292399,-2.443832652,-1.859658789,0.80565761,0.926894574,0.983451892,1.643089627,1.508539139,3.661934314,3.720625559,1.950344213,1.42479767,-2.420331203,-0.579255741,0.382386433,-0.013165883,-0.570005106,-3.517560194,-0.479515011,0.565904312,4.437285154,-5.265509661
2009/6/28,-0.055078805,-1.075961601,-1.95557189,-1.885919573,-1.031893472,-3.169213108,-2.476824936,-2.294625182,-1.702347041,0.22871755,-1.625963867,-1.439398663,-0.546784942,-0.327080064,-0.287328244,-0.699615528,0.114201823,0.215522881,-0.111592278,-0.563530703,1.812759929,-0.622746822,2.501245916,5.32521288,7.147527894,3.074971724,-2.156716929,-0.788275299,1.107997358,-5.339618462,0.785830591,0.090829277,0.040966218,-7.644670398,-0.562325755,0.511401072,-0.65325146,-2.080014846,2.018054886
2009/7/5,-6.628616758,-3.422994834,-0.894749026,-1.634149418,-5.352888828,-3.318678287,-1.947627106,-2.279588092,-1.631552083,-0.873471917,-2.090876483,-2.841479679,-12.90074482,-4.471290994,-4.226831651,-1.904311578,-0.04892767,-3.809894615,-2.609358358,-4.080042924,0.602390313,-5.537511659,-1.603943622,0.824215039,3.583187918,1.555044041,-2.756815714,0.357226172,-9.983188645,1.921351104,-0.635330688,-1.107673671,0.01463486,11.18952304,-3.57680339,-1.003960158,0.696650202,-8.837052669,0.130208352
2009/7/12,9.349137842,5.630701457,5.304711255,7.07700468,6.188820741,7.650199625,6.735126681,7.172598841,8.449457199,3.331135176,5.798096443,8.421555773,10.20866015,7.593995601,9.111478857,6.581614924,2.542179931,7.193559945,6.145250643,7.907423948,0.800361226,1.156597094,3.020332654,2.405381474,3.297460527,1.191276014,6.011765567,5.191355797,8.862620506,-0.874880062,-0.222246211,-0.860484719,-0.002927143,0.068941747,-10.81450806,-1.994862335,-0.29175352,-6.928929953,-4.162655434
2009/7/19,3.17999243,4.478402316,2.200172798,3.917039132,3.025117035,5.478666544,4.05131355,4.119910788,3.453058586,1.046334326,9.382276715,4.918034538,9.050257296,4.495579239,3.594525768,2.937409122,4.326288621,3.874413446,4.191410089,4.496438304,4.247773018,5.681296946,4.567248701,5.574455148,2.998684387,1.769253494,6.071351476,4.128787473,4.330077674,6.22884783,1.184374575,0.799266474,0.019027964,-17.58641599,5.947479539,2.690163848,-1.156732815,8.411658929,9.133542351
2009/7/26,2.637584159,0.565816402,3.701015165,0.858156305,0.924335046,1.493010713,0.835905901,0.635830621,1.479374947,-0.635642672,2.539986033,1.946375888,0.477812238,1.761342923,2.510322766,3.241346672,7.917732704,3.912454179,0.691349595,2.121173826,3.575684533,4.062154304,3.757281709,1.163225422,1.021976042,1.486470674,2.912417369,4.845120989,1.47531193,3.768788107,0.749014242,0.616588749,0,-5.272146419,6.825838743,1.659745273,-0.770205828,0.706140903,4.004579571
2009/8/2,4.527681312,2.815768946,1.296925733,2.14077235,0.906040025,2.779358966,2.302450106,1.09331909,4.11498569,1.492288852,-1.01138484,2.350563689,5.97159586,2.731259491,2.555615229,1.264263831,4.867736674,0.848523852,2.638291251,2.548249442,1.194286031,0.532142551,3.730731914,-4.537738504,-5.221185204,-2.998282868,-0.966875833,-4.218690096,-3.401348959,3.554986588,0.316289141,1.749562001,-0.010246277,11.56152481,2.03643401,0.07336373,-0.565637531,-1.143180659,3.983816417
2009/8/9,-2.129735607,0.545288512,3.689747807,-0.520773486,-0.343435815,-1.496111687,-0.63438068,-0.739132818,-1.156861713,0.356680901,-0.896709472,-2.78340825,-1.884167889,-0.737417489,-0.857365412,-0.684335446,-1.044120363,-0.418316819,-0.372451738,-1.369535305,0.973042428,1.763445163,-2.901973287,-6.779117522,-3.733582328,2.88235902,2.510315081,3.17194012,2.177441749,5.347349988,-0.43603698,-0.227517761,0.004391133,-4.578542367,2.108640601,0.376451349,0.831460472,0.573223898,6.097196659
2009/8/16,2.007406671,1.907950888,-3.894637285,1.960613831,-0.155264135,3.07512379,2.171278569,1.766211217,1.615044187,-0.710693735,6.349161778,2.852628246,-0.898430957,3.390527098,2.221512449,2.548570527,6.270570245,2.34884727,2.86317528,2.814944046,-0.657550779,-3.447625969,-1.042561073,-2.869828456,-4.984105717,-6.045277177,-3.37958809,-3.348218725,-1.125291136,2.456902472,0.119747839,-0.854808961,-0.03805008,-1.998842808,-4.941774016,-1.101968437,-0.12649423,-12.63251315,1.794168387
