Ö¸Êý,mean,median,maximun,minimum,s.d.,skeweness,kurtosis,JB,ADF
Merval,0.76,0.891,17.656,-37.757,4.972,-0.863,8.596,1050.394***,-10.118***
IBOVESPA,0.109,0.245,16.562,-20.923,3.135,-0.493,7.541,661.427***,-9.085***
AXJO,0.08,0.229,7.346,-13.98,2.058,-1.093,8.432,1049.991***,-9.783***
DJI,0.186,0.293,12.084,-18.998,2.304,-0.976,13.234,3324.295***,-10.397***
GSPTSE,0.087,0.238,9.07,-16.488,2.003,-1.572,14.22,4158.464***,-9.410***
RUT,0.172,0.358,16.978,-18.085,3.074,-0.541,7.956,788.142***,-9.519***
SPX,0.211,0.321,11.424,-16.228,2.31,-0.759,9.05,1191.584***,-10.338***
IXIC,0.273,0.414,10.062,-13.513,2.621,-0.484,5.301,190.895***,-9.746***
MXX,0.105,0.156,8.449,-10.557,2.215,-0.172,4.572,79.309***,-9.702***
SPCLXIGPA,0.091,0.138,12.026,-19.187,2.338,-0.846,12.272,2720.632***,-8.635***
WIG20,0.004,0.169,11.31,-25.618,2.897,-1.323,13.013,3284.600***,-9.066***
GDAXI,0.156,0.394,10.352,-22.33,2.828,-1.062,10.229,1738.658***,-9.855***
IRTS,-0.023,0.144,21.982,-39.538,4.527,-1.325,13.782,3775.380***,-9.166***
FCHI,0.107,0.3,10.238,-22.142,2.791,-1.044,9.867,1577.962***,-9.616***
AEX,0.144,0.278,9.187,-20.492,2.544,-1.138,10.559,1908.479***,-9.894***
SSMI,0.099,0.269,7.391,-15.155,2.124,-1.489,11.449,2457.677***,-9.889***
XU100,0.39,0.601,11.502,-14.371,3.492,-0.406,4.352,76.156***,-9.382***
IBEX,0,0.241,12.481,-23.378,3.115,-0.758,8.384,958.305***,-9.801***
FTSE,0.07,0.2,7.592,-18.592,2.196,-1.184,12.082,2697.834***,-9.816***
STOXX50E,0.075,0.265,10.394,-22.3,2.832,-1.016,9.734,1515.074***,-9.811***
KS11,0.083,0.247,9.257,-14.126,2.289,-0.778,7.6,721.949***,-9.264***
N225,0.165,0.259,15.817,-17.428,2.81,-0.421,7.079,531.319***,-8.858***
TA35,0.095,0.162,6.428,-20.615,2.09,-1.76,16.543,5996.626***,-9.601***
SSEC,0.021,0.13,9.074,-14.291,2.759,-0.542,5.713,261.396***,-8.788***
SZI,0.004,0.113,11.182,-16.194,3.348,-0.492,4.778,126.462***,-8.594***
TWII,0.122,0.36,7.26,-11.134,2.211,-0.822,5.428,263.315***,-8.331***
HK50,-0.001,0.225,10.489,-9.973,2.698,-0.187,3.709,19.679***,-8.886***
STI,0.039,0.15,9.156,-11.702,1.939,-0.203,6.767,439.680***,-9.535***
NSEI,0.197,0.32,11.972,-12.956,2.377,-0.279,5.987,282.796***,-9.431***
VNI30,0.117,0.343,13.643,-15.401,2.935,-0.431,6.009,300.012***,-8.719***
